id,question1,question2,is_duplicate
195,What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0
4888,"Have you ever met an upcoming actor, actress or singer who you knew would go far in their career?",What is the best performance ever by a leading actor/actress in a TV series? Why?,0
1591,How do you put notes in a TI-84 Plus?,Do uncircumcised men urinate with a higher flow rate?,0
2241,What is it like to be a non-Mormon attending a Mormon college or university?,Why don't Mormons clap at church?,0
3223,What is an inexpensive tool to track email opens?,How can one track whether sent email was read?,0
4795,Does Sound Engineering come under STEM?,Which engineering college comes under tier II in India?,0
4190,What is the difference between an air cooler and an air conditioner?,What is the difference between an air conditioner and a refrigerator?,0
2128,How can I live and work in Dubai?,What is it like to live and work in Dubai?,0
4958,"Why is a BJT called a ""current-controlled current source""?",Why is current gain of power transistor low?,0
3714,"Among SC, ST, NC and OBC which is the lowest caste?",Is the 'Tili' caste in West Bengal SC/ST/OBC?,0
3125,In what ways are difference quotients and slopes related?,Why do entrepreneurs need to be resilient?,0
114,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0
2694,What are some best power banks?,What is the best brand in power banks for smartphones?,0
911,"How do you form a hypothesis, since you haven't done any testing and don't have any test results yet?",Why do people who have done master's degrees in any field advise you not to do a master's?,0
1144,What was the first music video ever produced?,Has a fan made music video ever been released as the official music video for a song?,0
3804,What was the main significance of the Mexican American War? What were the main causes and the main consequences?,What were the main causes of the Spanish American War?,0
1344,Is there an archive app that lets you search the text in pictures?,Could the study of meteorology be used (in part) to understand the development and movement patterns of cancer?,0
4816,How do I address formally two persons in an email?,I forgot my password and the email address I used to create my Snapchat account. How can I log in or at least change my email address or password?,0
3322,How long did it take you to learn JavaScript?,How long does it take to master JavaScript?,0
1181,What license do I need for starting manufacturing of herbal diet products?,What norms need to be followed for the manufacturing and production of an extension board and where do I find written copies for the same?,0
36,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0
3326,What are the most popular linux distros for deep learning research?,What is the most powerful Linux distro?,0
2758,How difficult is it to hack Pokémon GO?,What is the best Pokemon GO hack?,0
4698,What relation is my dad's cousins to me?,My cousin keeps trying to touch me. What can I do?,0
482,What are some cute shounen ai series?,When will the Pokémon series end?,0
1646,Is there a difference between a Libertarian and a Socially-Liberal Republican?,What is the difference between a libertarian and an authoritarian?,0
3417,How is a TF card different from an SD card?,How do I recover pictures from SD card on MAC?,0
27,Does society place too much importance on sports?,How do sports contribute to the society?,0
4943,What is the best way to make ourselves happy?,How can we make ourselves happy?,0
1501,What do people from Myanmar think about Indians?,What do people think about Indian women?,0
1765,How reliable are Mensa I.Q. tests and what kind of intelligence do they measure?,How do you know if you are really intelligent?,0
