id,question1,question2,is_duplicate
4608,How can I add photos or video on Quora when I want to answer?,How do I add a photo to a Quora answer?,1
676,What are some of the most mind-blowing facts about Bengaluru?,What are some interesting facts about Bengaluru?,1
2384,"Who was the greater general, Russia's Zhukov or Germany's Von Manstein? Why?","Who was the greater General, Marshal Zhukov of Russia, or Van Manstein of Germany? Why?",1
4778,How do I convert numpy arrays to MATLAB arrays?,Is it possible to export numpy arrays to Matlab?,1
922,How should I start meditating?,"How should I start meditating, and when?",1
3215,Where can I rent a PS4 in Bangalore?,Where can I rent PS4 games in Bangalore?,1
890,How on earth would I dress like a workout guy from the year 1990 in the summer?,How would I dress like a workout guru from the year 1990 in the summer?,1
2813,What are your thoughts on Mr. Kejriwal claims that Mr. Modi can get him killed?,How can we save Arvind Kejriwal from Modi (as he might get him killed)?,1
594,Is it too late for me at the age of 25 thinking to start a career in photography?,I want to start my career as a photographer at age of 25. Is it too late?,1
3968,Can I grow shorter?,Can I get shorter?,1
3874,How did you meet your significant other?,How did you meet your current significant other?,1
1873,What is the difference between amateur (ham) radio and CB radio?,How do HAM Radio and a CB Radio differ?,1
3577,How can an adult male increase his height after 22?,How do I increase our height after 21?,1
2164,How should I start learning Python?,How should I begin learning Python?,1
3083,How should I prepare for the KVPY SA interview?,How do I prepare for KVPY sa interview?,1
2209,What is the taste of semen?,What does cum taste like?,1
3660,Is it bad to rev your engine in park?,Is it bad to rev your engine while you are in park?,1
3076,I'm 18. How can I make money online?,What is the easiest way to earn money from online?,1
4167,Is a mental illness a choice? Does someone decide to have one or not?,Is mental illness is a choice?,1
2620,Why can't we have one child policy in India?,How many agree that families should be allowed to have only one child in India?,1
1762,What is light made up of?,What exactly is light made of?,1
442,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1
4048,How do I stop caring about what people think about me?,"As an individual, do I really need to care what people think about me?",1
13,What was your first sexual experience like?,What was your first sexual experience?,1
1909,What job can a foreigner have in South Korea?,How can a foreigner get a job in South Korea?,1
2959,Which is the best phone to buy under 15000 INR?,Which is best smartphone to buy under Rs 15000?,1
2567,Which is the best SEO ‪Company‬ in ‪Delhi‬?,"Which are the best seo companies in Delhi/Ncr, India?",1
569,If time started because of the big bang happening then how could the big bang start because there was no time for the big bang to start?,How did the Big Bang happen when there wasn't any time for it to happen in?,1
3130,What were the best movies of 2014? Why?,What are some of the best movies of 2014?,1
4175,Has anyone's mom ever caught them masturbation?,Has anyone's mom ever caught them masturbating?,1
2145,Why did Hillary Clinton think it was necessary to use a private server to conduct her personal and government communications?,What is the real reason that Hillary set up her own private email server as Secretary of State?,1
3795,What is your favorite eye color?,What's your favorite eye color? Why?,1
273,What is the best way to get traffic on your website?,How do i get traffic for website?,1
4412,What is the salary of indian president?,What is the President's salary in India?,1
726,What is the meaning and purpose to life?,What is the exact meaning of life?,1
1103,Can you dream while awake?,Can people dream while they are awake?,1
93,What causes a nightmare?,What causes nightmares that seem real?,1
4286,Why do some people still think the Earth is flat?,Why do some people think that the Earth is flat?,1
2877,Why is there so much suffering in the world?,Why is there suffering in the world?,1
2657,What is our purpose in being here?,What is the purpose of existance?,1
553,What are the best daily life hacks one can use to make his life easy?,What are the hacks in daily life?,1
4248,What is the best way to learn how to hack (whitehat)?,What is the best possible way for learning hacking?,1
3226,How should I start preparing for civil services exam?,How do I start preparation for civil services exams?,1
4397,"If the ACA is repealed, will claims be denied for those with pre-existing conditions?","Once the ACA is repealed, how soon thereafter will insurers start denying coverage based on pre-existing conditions?",1
958,"How comfortably can I live in Washington DC on a $80,000 salary?","Can I live comfortably in DC on $80,000 - $114,000 salary?",1
3298,What are some great whisky mixers?,What are some great Whiskey mixers?,1
617,Why is Barack Obama so important for the world?,Why is Barack Obama so important to the world?,1
421,What's your bucket list?,What is your bucket list?,1
2839,What should be the first question to ask on Quora?,What can be my first question for Quora?,1
1208,What will happen to EU citizens in UK after brexit?,What's going to happen to EU citizens in the UK if the UK leaves the European Union after a 2016 referendum?,1
3497,How you make money?,What is the best way make extra money?,1
1499,How can I be a native English speaker?,How do I speak English like celebrities?,1
980,What can I do to get a job at Microsoft?,How do I get job in Google or Microsoft?,1
3050,Why did you choose The Adventures of Huckleberry Finn to read?,Why did you choose The Adventures of Huckleberry Finn to read as your first novel?,1
2309,How do you get a job at an embassy or consulate?,How can you get a job in any embassy?,1
858,How is the job situation in New Zealand for computer science graduates?,How is the job situation in New Zealand for computer science graduates diploma?,1
4564,Which can be the best laptop under 30000?,What is the best laptop under 30k for students?,1
2775,Does penis size really matter? (and) What is the size of your penis?,Does penis size matter for girl or stamina?,1
2897,Is time travel possible and if yes can we travel only in past or future or both?,Will time travel be possible in future?,1
4307,How do you give a good rimjob?,How do I give a rimjob?,1
2981,Who do you think would win the 2016 USA Election?,Who is going to win the 2016 presidential election?,1
1210,Why does temperature decrease when altitude increases?,Why does temperature decrease with increase in altitude?,1
1153,What defines happiness for you?,What defines happiness?,1
3688,What are the things that make Indians happy and proud?,What are the few things that make Indians happy?,1
2454,What is the need of a president in a country like India?,Is a president needed in a country like India?,1
